prompt,response,profileId,targetAgeGroup,genderIdentity,educationBackground,targetProfession,digitalLiteracy,geoRegion,householdIncomeStatus,targetRole,promptIntentType,reasoningComplexity,geographicContext,sensitiveInformationPresent,vulnerableGroupTargeted,confidenceScore,serviceDomain,subServiceDomain,topic,pageURL,sourceURL,sourceDomain,sourceLicense,documentType,dateCreated,language,inputFile,serviceDomain_norm,serviceDomain_raw
Which benefits can be affected if I'm convicted of benefit fraud?,"If you're convicted of benefit fraud, certain benefits can be reduced or stopped. These include Carer's Allowance, Employment and Support Allowance, Housing Benefit, Incapacity Benefit, Income Support, and others listed in the document. Benefits like Attendance Allowance, Child Benefit, and State Pension cannot be reduced or stopped. It's important to know which benefits you receive to understand potential impacts.",cb4956a480,18-25,female,secondary,student,low,Wales,moderate,service-user,informational,medium,UK-wide,False,False,0.9,Benefits,fraud,benefit fraud,https://www.gov.uk/browse/benefits,file:///media/volume/data4t/odi_datasets/scraped_content/target104.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-22,en,target104.txt,benefits,benefits
What happens if I don't tell the benefit office about an overpayment?,"If you don't inform the benefit office about an overpayment, you may face legal consequences such as prosecution for benefit fraud. You could also be required to pay a penalty. It's important to report any overpayments immediately to avoid these issues. The benefit office may also take action against you if they discover the overpayment without your notification.",0e9592e95b,18-25,female,secondary,student,low,Scotland,above moderate,service-user,informational,medium,UK-wide,False,False,0.9,Benefits,overpayments,consequences,https://www.gov.uk/browse/benefits,file:///media/volume/data4t/odi_datasets/scraped_content/target103.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-22,en,target103.txt,benefits,benefits
What should I include in my written complaint to the Child Benefit Office?,"When writing a complaint to the Child Benefit Office, make sure to include your National Insurance number, full name, address, and telephone number. Provide details of what happened, any reference numbers you've been given, and how you'd like the issue resolved. Write 'complaint' at the top of your letter. This helps the Child Benefit Office understand and process your complaint effectively. They will respond within 15 working days.",8d3d695355,18-25,female,secondary,retail,low,England,above moderate,service-user,informational,medium,UK-wide,False,False,0.95,Benefits,child benefit,complaints,https://www.gov.uk/browse/benefits,file:///media/volume/data4t/odi_datasets/scraped_content/target101.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-22,en,target101.txt,benefits,benefits
What happens if I'm found guilty of benefit fraud?,"If you're found guilty of benefit fraud, you may be required to pay back the overpaid money. You could also face a penalty between £350 and £5,000, or be taken to court. Your benefits may be reduced or stopped for up to 3 years, depending on how many times you've committed fraud. Only certain benefits, known as sanctionable benefits, can be affected. If you commit fraud on a non-sanctionable benefit, your other benefits might be reduced instead.",cb4956a480,18-25,female,secondary,student,low,Wales,moderate,service-user,informational,medium,UK-wide,False,False,0.9,Benefits,fraud,benefit fraud,https://www.gov.uk/browse/benefits,file:///media/volume/data4t/odi_datasets/scraped_content/target104.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-22,en,target104.txt,benefits,benefits
I am living in Scotland and have a disability. Which benefit should I apply for instead of Attendance Allowance?,"In Scotland, you should apply for Pension Age Disability Payment instead of Attendance Allowance. This change began in spring 2025, and you will automatically be moved to Pension Age Disability Payment. You will receive letters from the Department for Work and Pensions and Social Security Scotland. If you move from Scotland to England or Wales, you must report your move and apply for Attendance Allowance.",2d42510f37,18-25,female,tertiary,retail,medium,Scotland,above moderate,service-user,instructional,moderate,UK-wide,False,False,0.95,Benefits,disability,attendance allowance,https://www.gov.uk/browse/benefits,file:///media/volume/data4t/odi_datasets/scraped_content/target160.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target160.txt,benefits,benefits
How do I check if the visiting officer is genuine during a support visit?,"During a support visit, the visiting officer will show you their photo identity card. You can check if the officer's name matches the one listed in the letter or text message you received. If you have a visual impairment, you can agree on a password beforehand for the officer to say upon arrival. You can also call the DWP Visiting Team using the number provided to verify their identity.",fee671a401,18-25,female,tertiary,nurse,low,England,above moderate,service-user,instructional,medium,UK-wide,False,False,0.9,Benefits,claiming benefits,verifying visiting officers during support visits,https://www.gov.uk/browse/benefits,file:///media/volume/data4t/odi_datasets/scraped_content/target153.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target153.txt,benefits,benefits
What happens if I need to take unpaid parental leave but my employer does not agree? Are there any legal protections in place?,"If your employer does not agree to your request for unpaid parental leave, you should seek clarification on their reasons. Your employment rights are protected during parental leave, so your employer cannot refuse your request without valid reasons. You may need to consult with an employment advisor or seek further guidance from Acas to understand your options and rights.",8f8b4a47ea,18-25,female,secondary,teacher,low,England,moderate,service-user,instructional,medium,UK-wide,False,False,0.9,Benefits,parental leave,unpaid parental leave,https://www.gov.uk/browse/benefits,file:///media/volume/data4t/odi_datasets/scraped_content/target136.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target136.txt,benefits,benefits
I was told by a FEPS centre that my benefit payments may stop if I don't respond in time. What should I do?,"If you don't respond to the FEPS centre in time, your benefit payments may be stopped. You should make sure to provide the information they are asking for as soon as possible. If you're unsure about the request, you can contact Jobcentre Plus or the Pension Service to confirm if it's genuine. They can help you understand what to do next and ensure your payments continue.",69700d5783,18-25,female,secondary,retired,low,Wales,above moderate,service-user,instructional,medium,UK-wide,False,False,0.9,Benefits,fraud prevention,claim review,https://www.gov.uk/browse/benefits,file:///media/volume/data4t/odi_datasets/scraped_content/target106.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-22,en,target106.txt,benefits,benefits
Where can I find more information about benefits for families in Wales?,"For more information about benefits for families in Wales, visit the official government website. This site provides detailed information about various benefits, including Universal Credit, Child Benefit, and others. You can also use the benefits calculator tool to determine what support you might be eligible for. The website includes links to additional resources and guidance to help you navigate the benefits system effectively.",7194b5b4dc,18-25,female,tertiary,teacher,medium,Wales,moderate,service-user,instructional,low,UK-wide,False,False,0.95,Benefits,financial support,benefits and financial support for families,https://www.gov.uk/browse/benefits,file:///media/volume/data4t/odi_datasets/scraped_content/target128.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-22,en,target128.txt,benefits,benefits
I'm on strike. Can I use the benefits calculator?,"No, you cannot use the benefits calculators if you're on strike. The calculators are not available for prisoners, students, people living outside the UK, or those living permanently in residential care or a nursing home. If you're on strike, you should contact a local benefits adviser directly to find out what you could be entitled to. They can provide you with personalized guidance based on your specific situation.",cfba47def9,18-25,female,secondary,retired,medium,Scotland,moderate,service-user,instructional,low,UK-wide,False,False,0.9,Benefits,Benefits Calculators,Benefits Calculators,https://www.gov.uk/browse/benefits,file:///media/volume/data4t/odi_datasets/scraped_content/target109.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-22,en,target109.txt,benefits,Benefits
What are the steps to apply for free childcare if I'm working in England and how do I check if my provider is approved?,"To apply for free childcare if you're working in England, first check if your childcare provider is approved. Approved providers are listed on the Ofsted register or with a registered early years childminder agency. Contact your provider to confirm this. Then, apply through your local authority. You may need to provide details about your employment and childcare arrangements. Ensure your provider is on the Early Years Register with Ofsted to be eligible for free childcare.",0a83f9820f,18-25,female,secondary,teacher,medium,Wales,above moderate,service-user,instructional,low,UK-wide,False,False,0.95,Benefits,childcare,free childcare application,https://www.gov.uk/browse/benefits,file:///media/volume/data4t/odi_datasets/scraped_content/target146.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target146.txt,benefits,benefits
