,prompt,response,profileId,targetAgeGroup,genderIdentity,educationBackground,targetProfession,digitalLiteracy,geoRegion,householdIncomeStatus,targetRole,promptIntentType,reasoningComplexity,geographicContext,sensitiveInformationPresent,vulnerableGroupTargeted,confidenceScore,serviceDomain,subServiceDomain,topic,pageURL,sourceURL,sourceDomain,sourceLicense,documentType,dateCreated,language,inputFile
6015,What happens if I don't pay the Dartford Crossing charge on time?,"I'm sorry, I can't answer that question",deb4443ad6,26-45,male,secondary,student,medium,Wales,above moderate,service-user,instructional,low,UK-wide,False,False,0.95,transport,road tolls,paying tolls,file:///media/volume/data4t/odi_datasets/scraped_content/target1283.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1283.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target1283.txt
6579,Can I use SMI to cover missed mortgage payments or insurance costs?,"No, Support for Mortgage Interest (SMI) cannot help with missed mortgage payments (arrears) or insurance costs. SMI is specifically for helping with the interest on your mortgage or certain home improvement loans. You should contact your lender directly for assistance with missed payments or explore other support options like payment holidays. Insurance costs are separate and would need to be addressed through your lender or insurance provider.",ef39c94cd2,26-45,female,secondary,retail,low,Scotland,above moderate,service-user,instructional,medium,UK-wide,False,False,0.95,benefits,housing support,support for mortgage interest,file:///media/volume/data4t/odi_datasets/scraped_content/target191.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target191.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target191.txt
23648,How do I find out which council in Wales handles Housing Benefit applications?,"To find out which council in Wales handles Housing Benefit applications, you can use the Royal Mail's postcode finder to locate your local council. This will help you identify the correct authority to contact for Housing Benefit applications. Alternatively, you can search online for your local council's website or contact them directly for assistance.",0d06192542,18-25,male,secondary,retail,high,Wales,above moderate,service-user,procedural,medium,Wales,False,False,0.95,Benefits,Housing Benefit,Housing Benefit Applications,file:///media/volume/data4t/odi_datasets/scraped_content/target1839.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1839.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-21,en,target1839.txt
20613,Can I apply for a Vaccine Damage Payment on behalf of my adult child who is severely disabled due to a vaccination?,"Yes, you can apply for a Vaccine Damage Payment on behalf of your adult child if they are unable to manage their own affairs and you act as their representative. This applies if your child is severely disabled as a result of a vaccination against certain diseases. You'll need to provide evidence of their disability and your role as their representative. The payment is a one-off tax-free amount of £120,000. It's important to gather all necessary documentation, including medical reports and proof of your relationship, to support your application. You should contact the relevant government department to start the process and ensure you meet all eligibility criteria.",cc3c59b699,65+,female,secondary,retail,high,Wales,above moderate,service-user,procedural,medium,UK-wide,False,False,0.95,benefits,disabilities,vaccine damage payment,file:///media/volume/data4t/odi_datasets/scraped_content/target959.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target959.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-26,en,target959.txt
21851,What should I do if I receive a fine for a vehicle defect during a roadside check?,"If you receive a fine for a vehicle defect during a roadside check, you'll get a payment code via email and text. Use this code to pay the fine online, by phone, or by post. Paying on time avoids your vehicle being immobilised, additional costs, or legal action. If you're unsure how to proceed, contact the DVSA for assistance to ensure you handle the fine correctly.",74733c64e7,under18,male,tertiary,student,high,Scotland,moderate,service-user,procedural,medium,UK-wide,False,False,0.95,transport,driving,paying fines,file:///media/volume/data4t/odi_datasets/scraped_content/target1310.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1310.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-20,en,target1310.txt
11583,"If I want to take the Help to Build: Equity Loan after finishing my home, what is the process and what fees or interest will I have to pay?","After finishing your home, you can choose to take the equity loan. Homes England will pay the loan amount to your mortgage lender once you provide proof that the build is complete. You will have to pay a £1 monthly management fee starting from when the loan is given to your lender. Additionally, you will need to pay interest on the loan starting 5 years after the date on your equity mortgage document. In year 6, you'll pay 1.75% interest on the loan amount, split into 12 monthly payments. From year 7 onwards, the interest rate will increase with the consumer price index plus 2%. Importantly, paying interest does not reduce the amount you owe for the equity loan itself.",c8f429bca1,46-65,male,tertiary,nurse,low,England,above moderate,service-user,procedural,medium,UK-wide,False,False,0.95,housing,property ownership,Help to Build: Equity Loan,file:///media/volume/data4t/odi_datasets/scraped_content/target1859.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1859.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target1859.txt
14770,"I'm disabled and need to make some changes to my home, like widening doors and installing a stairlift. How do I apply for a Disabled Facilities Grant?","To apply for a Disabled Facilities Grant, you should contact your local council's social care department. They will assess your needs and determine if you qualify for the grant. The grant can cover modifications such as widening doors, installing ramps, or adding a stairlift. It's important to provide detailed information about your disability and the specific changes you require. The grant won't affect your benefits, so you can apply without worrying about losing financial support.",d2bac21209,46-65,male,tertiary,retired,high,Wales,moderate,service-user,procedural,medium,UK-wide,False,True,0.95,healthcare,disability support,Disabled Facilities Grants,file:///media/volume/data4t/odi_datasets/scraped_content/target791.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target791.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target791.txt
7593,"I'm an EU citizen living outside the UK and I want to work here. Do I need to apply for a Frontier Worker permit or a different visa, and what are the differences between them?","If you're an EU citizen living outside the UK and you've worked in the UK at least once every 12 months since 2021, you can apply for a Frontier Worker permit. This permit allows you to enter the UK as a frontier worker and proves your right to access benefits and services, including NHS healthcare, if you meet the relevant eligibility requirements. If you haven't worked in the UK by 31 December 2020, you'll need to apply for a visa instead. The type of visa you need depends on the type of work and how long you want to come for. You do not need a visa if you're a British or Irish citizen. The Frontier Worker permit does not cover family members, who may be eligible to apply to the EU Settlement Scheme for settled or pre-settled status.",0b0f4da7f0,26-45,male,tertiary,student,low,England,moderate,service-user,procedural,medium,UK-wide,False,False,0.9,Immigration,Work in the UK,Frontier Worker permit,file:///media/volume/data4t/odi_datasets/scraped_content/target2526.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target2526.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target2526.txt
22336,Where can I find information about the Blue Badge scheme in Scotland?,"To find information about the Blue Badge scheme in Scotland, you should visit your local council's website. The Blue Badge scheme helps disabled individuals park closer to their destination. Your local council will provide details on eligibility criteria, application process, and any relevant updates. It's recommended to check the council's website regularly for the most accurate and up-to-date information. If you have any questions, you can also contact your local council directly for assistance.",865bafd13b,under18,female,secondary,teacher,medium,Scotland,above moderate,service-user,instructional,low,Scotland,False,True,0.9,Transport,Disabled People,Blue Badge Scheme,file:///media/volume/data4t/odi_datasets/scraped_content/target1441.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1441.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-21,en,target1441.txt
1752,What should I do if I think a teacher is in immediate danger?,"If you believe a teacher is in immediate danger, you should contact the police directly. This is a separate process from reporting teacher misconduct. The police can provide urgent assistance and ensure the safety of the individual. Do not attempt to handle the situation yourself, as it may put you or others at risk. Always call emergency services if there is any concern about someone's safety.",36886d35d3,18-25,female,tertiary,retired,low,England,moderate,service-user,instructional,medium,UK-wide,False,False,0.95,education,teacher misconduct,reporting teacher misconduct,file:///media/volume/data4t/odi_datasets/scraped_content/target1524.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1524.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target1524.txt
